1603681317.000000, 1603681317.000000, 1603681317.000000
32.000000, 32.000000, 32.000000
-58,-5,-51
-47,-8,-60
-41,-16,-60
-40,-15,-59
-34,-15,-54
-33,-15,-52
-29,-19,-50
-30,-18,-51
-33,-18,-53
-30,-15,-55
-31,-14,-54
-27,-14,-56
-28,-12,-54
-25,-17,-56
-27,-14,-60
-26,-14,-57
-27,-12,-53
-23,-15,-56
-25,-13,-58
-24,-11,-63
-23,-10,-58
-22,-12,-65
-22,-10,-57
-21,-12,-60
-22,-10,-57
-22,-9,-58
-21,-10,-58
-22,-7,-56
-18,-8,-61
-19,-7,-60
-17,-10,-59
-18,-9,-57
-18,-9,-61
-17,-10,-61
-18,-12,-61
-18,-9,-60
-19,-9,-59
-18,-9,-58
-20,-10,-59
-18,-10,-58
-18,-11,-60
-18,-10,-59
-18,-11,-60
-17,-10,-60
-18,-10,-63
-15,-10,-61
-18,-10,-66
-16,-8,-59
-20,-10,-58
-18,-10,-58
-17,-9,-59
-18,-9,-60
-17,-11,-61
-17,-10,-60
-18,-11,-60
-18,-10,-60
-15,-9,-59
-17,-8,-61
-17,-10,-62
-14,-9,-60
-17,-11,-59
-18,-11,-59
-19,-11,-61
-17,-10,-61
-17,-10,-63
-17,-8,-58
-18,-9,-58
-22,-9,-58
-16,-24,-69
-19,-13,-59
-18,-12,-57
-17,-11,-59
-16,-12,-59
-16,-14,-62
-18,-17,-63
-19,-12,-59
-20,-14,-58
-19,-14,-57
-20,-14,-58
-20,-15,-59
-21,-13,-59
-21,-13,-58
-21,-15,-59
-20,-14,-55
-21,-15,-58
-21,-14,-55
-20,-14,-50
-19,-11,-61
-21,-11,-58
-21,-11,-56
-16,-16,-61
-20,-12,-53
-18,-12,-63
-15,-11,-59
-17,-12,-57
-16,-13,-58
-14,-13,-62
-15,-12,-62
-15,-13,-62
-15,-14,-61
-15,-12,-55
-18,-13,-60
-13,-13,-59
-14,-10,-60
-10,-11,-59
-8,-12,-60
-7,-12,-62
-5,-11,-64
-7,-9,-63
-6,-10,-61
-6,-15,-60
-5,-11,-64
-6,-14,-64
-15,-7,-64
-1,-18,-52
-8,-11,-65
-12,-12,-57
-9,-12,-61
-10,-12,-61
-9,-12,-59
-8,-9,-62
-8,-12,-65
-7,-12,-60
-6,-12,-62
-5,-11,-61
-4,-10,-64
-3,-9,-64
-4,-9,-63
-3,-10,-63
-5,-10,-63
-5,-11,-63
-6,-12,-63
-7,-10,-61
-7,-10,-60
-6,-10,-62
-11,-7,-62
-8,-9,-63
-6,-10,-61
-6,-10,-63
-7,-9,-64
-7,-11,-59
-9,-9,-64
-7,-10,-64
-10,-6,-64
-11,-5,-61
-9,-9,-62
-9,-10,-61
-10,-9,-62
-10,-10,-59
-12,-11,-66
-13,-10,-60
-14,-9,-62
-14,-7,-67
-13,-11,-63
-16,-9,-57
-17,-11,-53
-16,-11,-58
-17,-12,-56
-18,-9,-61
-15,-11,-63
-15,-10,-65
-14,-13,-66
-13,-11,-66
-17,-20,-52
-18,-2,-56
-22,-11,-59
-22,-12,-63
-22,-7,-54
-21,-5,-56
-23,-7,-60
-23,-7,-61
-22,-10,-52
-24,-10,-52
-25,-1,-75
-23,1,-34
-31,-3,-62
-28,-5,-45
-26,-14,-54
-34,-17,-55
-33,-15,-56
-26,-22,-53
-34,-10,-53
-33,-15,-51
-33,-19,-50
-34,-20,-48
-34,-21,-44
-39,-18,-52
-34,-20,-43
-35,-22,-50
-40,-15,-53
-36,-17,-48
-37,-19,-55
-34,-17,-54
-34,-17,-48
-36,-18,-45
-38,-18,-49
-36,-17,-50
-33,-20,-52
-36,-16,-49
-35,-16,-48
-32,-19,-50
-34,-18,-50
-33,-18,-53
-31,-17,-51
-30,-17,-51
-32,-16,-53
-29,-17,-53
-29,-15,-55
-29,-16,-54
-29,-17,-55
-29,-17,-54
-27,-18,-53
-28,-17,-52
-29,-15,-57
-28,-15,-53
-28,-16,-53
-30,-16,-55
-30,-16,-55
-28,-15,-53
-30,-16,-55
-29,-15,-55
-28,-16,-54
-28,-16,-56
-30,-14,-58
-30,-14,-52
-31,-15,-52
-31,-16,-54
