1594993425.000000, 1594993425.000000, 1594993425.000000
32.000000, 32.000000, 32.000000
-61,8,-17
-61,8,-17
-61,7,-16
-62,8,-16
-62,8,-17
-60,9,-17
-60,9,-17
-61,9,-18
-60,9,-19
-59,9,-19
-59,8,-20
-59,9,-20
-62,7,-17
-62,7,-16
-61,9,-16
-59,10,-17
-62,9,-17
-62,8,-17
-63,6,-18
-62,6,-20
-59,7,-19
-59,6,-19
-60,7,-20
-59,7,-21
-58,8,-21
-58,9,-21
-58,8,-22
-58,7,-22
-58,5,-20
-59,5,-20
-58,3,-20
-60,3,-19
-61,2,-19
-61,2,-19
-64,1,-16
-65,1,-15
-66,2,-14
-67,2,-16
-67,2,-16
-66,2,-15
-64,3,-17
-62,3,-17
-60,4,-19
-59,5,-20
-56,3,-24
-51,5,-25
-47,4,-23
-51,3,-26
-53,-2,-28
-51,-2,-28
-51,-2,-30
-54,-3,-33
-54,-3,-34
-54,-2,-33
-56,-3,-35
-57,-4,-35
-65,-7,-31
-68,-4,-28
-72,-2,-28
-77,1,-22
-79,4,-20
-78,7,-21
-76,5,-19
-74,3,-18
-67,0,-18
-63,-2,-18
-60,-3,-18
-55,-2,-19
-55,0,-20
-54,2,-20
-53,5,-17
-54,8,-15
-54,9,-14
-55,11,-16
-57,12,-14
-57,12,-14
-58,14,-13
-58,14,-13
-58,15,-14
-60,16,-14
-60,16,-14
-60,16,-14
-60,17,-15
-59,17,-14
-60,17,-15
-61,17,-15
-60,17,-15
-61,18,-15
-61,17,-14
-60,18,-14
-60,18,-14
-61,18,-14
-60,18,-14
-61,18,-13
-61,17,-13
-61,17,-12
-61,16,-13
-61,16,-13
-61,17,-12
-60,17,-12
-60,17,-12
-60,17,-11
-60,18,-12
-60,18,-11
-61,18,-10
-61,17,-10
-61,17,-11
-61,16,-11
-62,16,-9
-60,16,-8
-61,17,-9
-61,17,-9
-60,18,-7
-60,18,-6
-61,18,-7
-61,17,-7
-61,17,-7
-61,17,-7
-61,17,-6
-62,17,-7
-61,17,-7
-61,17,-7
-61,17,-7
-61,18,-6
-60,18,-6
-60,18,-6
-61,19,-6
-61,18,-6
-61,18,-6
-61,18,-6
-61,18,-6
-62,18,-6
-62,18,-6
-62,16,-6
-62,16,-7
-60,14,-6
-59,14,-8
-59,15,-8
-58,17,-7
-58,19,-7
-60,21,-6
-62,23,-6
-64,22,-7
-66,19,-7
-66,17,-5
-66,16,-4
-64,15,-1
-66,13,-3
-66,13,-3
-63,14,-5
-65,14,-4
-67,14,-1
-63,13,0
-63,13,-7
-69,9,-11
-60,7,-3
-60,7,-4
-59,4,-1
-61,1,0
-61,1,3
-63,2,4
-65,1,4
-63,-1,6
-62,1,8
-62,1,8
-64,1,7
-59,2,14
-59,1,12
-60,0,12
-60,2,14
-61,3,14
-63,4,16
-65,4,17
-65,4,17
-66,3,16
-64,2,16
-64,2,16
-63,1,16
-62,0,14
-64,0,13
-64,0,12
-64,-1,10
-63,0,11
-63,0,11
-62,1,12
-63,1,12
-63,0,12
-63,1,13
-63,1,14
-63,1,14
-63,1,15
-64,1,15
-64,0,15
-63,0,15
-63,0,15
-62,-1,16
-62,-1,17
-59,-1,18
-60,-1,15
-60,-2,14
-60,-4,9
-59,-5,8
-57,-4,8
-57,-1,8
-59,-1,7
-61,-1,5
-62,2,6
-63,4,7
-62,8,11
-66,9,12
-69,9,10
-70,8,10
-69,6,10
-69,6,9
-68,4,11
-67,4,13
-67,3,11
-65,2,12
-70,-1,9
-71,-6,10
-66,-4,6
-67,-2,5
-63,-2,6
-62,-4,3
-62,-3,4
-61,-2,7
-63,-1,7
-61,0,8
-63,-2,8
-62,-2,10
-62,-2,11
-65,-6,10
-66,-6,8
-68,-9,3
-62,-10,-1
-63,-12,-2
-44,-11,5
-41,0,0
-47,-1,-8
-59,0,-17
-56,12,-17
-58,12,-20
-56,13,-21
-68,17,-25
-71,16,-27
-68,14,-34
-72,10,-28
-67,8,-27
-66,5,-33
-61,4,-34
-60,1,-35
-54,2,-33
-53,1,-31
-54,2,-33
-53,2,-31
-53,2,-31
-52,2,-32
-53,4,-33
-53,4,-32
-53,4,-32
-54,4,-33
-54,5,-33
-56,5,-34
-56,4,-33
-54,4,-32
-55,5,-35
-54,5,-34
-55,4,-32
-52,4,-31
-54,3,-31
-54,3,-31
-55,4,-32
-55,4,-31
-55,4,-32
-56,4,-31
-56,4,-30
-55,4,-31
-55,5,-31
-55,5,-31
-55,4,-30
-55,4,-30
-55,5,-30
-55,4,-31
-55,4,-30
-56,5,-30
-56,4,-30
-55,5,-30
-56,5,-30
-55,5,-30
-55,5,-30
-55,5,-30
-55,5,-30
-55,5,-30
-55,5,-30
-56,5,-31
-56,5,-31
-56,5,-31
-55,5,-30
-56,5,-30
-55,5,-31
-55,5,-30
-55,5,-30
-55,5,-31
-55,5,-31
-55,5,-30
-55,5,-31
-55,5,-31
-56,5,-31
-55,6,-30
-56,5,-30
-56,5,-31
-55,6,-30
-56,6,-30
-55,5,-31
-55,6,-31
-55,5,-30
-55,6,-30
-55,6,-30
-55,6,-31
-55,6,-30
-54,6,-30
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,7,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-30
-55,6,-30
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-30
-55,6,-30
-55,6,-30
-55,6,-30
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-30
-54,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-32
-55,6,-32
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-31
-55,6,-30
-55,6,-31
-55,6,-31
-55,6,-31
-55,5,-31
-55,5,-31
-55,5,-32
-54,5,-32
-54,5,-31
-55,5,-31
-54,5,-31
-55,6,-32
-55,6,-32
-55,6,-32
-54,6,-32
-54,6,-32
-55,6,-32
-55,6,-32
-54,5,-32
-54,6,-32
-55,6,-32
-54,6,-32
-54,6,-32
-54,6,-32
-54,6,-32
-55,6,-32
-55,6,-32
-55,6,-32
-55,6,-32
-55,6,-32
-55,6,-31
-54,5,-31
-54,5,-31
-54,5,-31
-54,5,-31
-54,6,-32
-54,6,-32
-55,6,-32
-55,5,-32
-55,5,-32
-55,4,-33
-55,4,-32
-54,4,-31
-53,4,-32
-53,5,-32
-54,5,-32
-54,5,-32
-54,6,-32
-55,6,-32
-55,6,-32
-55,6,-32
-55,6,-32
-55,6,-33
-56,5,-33
-55,5,-32
-54,4,-32
-53,3,-32
-53,3,-31
-53,4,-32
-53,4,-32
-54,5,-32
-54,5,-32
-56,5,-33
-56,5,-33
-56,5,-33
-55,5,-33
-54,5,-33
-54,5,-32
-53,4,-32
-54,5,-33
-54,5,-32
-54,5,-32
-54,5,-33
-53,5,-32
-54,5,-32
-56,4,-30
-55,5,-27
-56,5,-25
-63,4,-21
-59,2,-24
-63,2,-34
-58,6,-37
-55,7,-36
-59,6,-40
-61,5,-39
-55,4,-34
-53,4,-25
-50,1,-13
-45,1,-7
-51,-5,2
-57,-4,-3
-61,-4,-10
-67,0,-19
-68,2,-18
-65,3,-15
-60,0,-10
-60,-2,-12
-64,-1,-18
-69,0,-17
-66,-2,-15
-65,-2,-12
-66,-4,-10
-66,-4,-11
-62,-2,-11
-60,-3,-7
-64,-3,-7
-66,-3,-6
-62,-3,-2
-61,-4,0
-64,-4,-3
-66,-3,-9
-65,-2,-8
-63,-3,-3
-63,-2,-2
-64,-2,-7
-63,-1,-6
-63,-2,-4
-60,-2,-2
-66,-3,-5
-66,-3,-6
-66,-2,-5
-64,-1,-3
-62,-1,-2
-64,-1,-4
-64,0,-5
-63,-1,-4
-63,0,-3
-66,-1,-3
-65,-1,-3
-65,-3,-2
-66,-3,-3
-64,-3,1
-65,-1,-5
-64,-2,-7
-60,0,-4
-66,-1,-11
-65,-1,-12
-61,-2,-6
-60,-4,-3
-58,-5,-2
-61,-3,-8
-56,-1,-10
-53,0,-8
-45,1,-7
-38,-1,-12
-52,-1,-51
-52,2,-59
-51,0,-53
-56,-11,-29
-64,-10,-40
-58,-3,-54
-79,-3,-66
-70,-1,-45
-62,3,-23
-63,-7,6
-78,11,-31
-59,10,-20
-56,8,-16
-53,9,-13
-48,13,-9
-52,7,-4
-61,5,-6
-60,5,0
-64,4,2
-65,4,0
-62,7,-2
-63,4,-4
-63,4,-4
-64,2,-2
-60,0,-4
-56,1,-7
-63,0,-11
-63,2,-6
-57,5,-5
-59,7,-14
-58,9,-14
-48,8,-10
-36,9,-11
-35,8,-15
-45,2,-37
-44,2,-65
-44,-3,-63
