1593441535.000000, 1593441535.000000, 1593441535.000000
32.000000, 32.000000, 32.000000
-24,-11,57
-23,-10,59
-23,-9,58
-24,-11,58
-23,-9,58
-25,-10,57
-25,-10,57
-31,-10,57
-29,-12,64
-20,-8,62
-30,-10,49
-27,-9,53
-28,-7,55
-29,-7,54
-27,-7,58
-27,-7,59
-29,-9,57
-30,-8,57
-30,-8,54
-28,-9,54
-30,-11,56
-33,-11,50
-35,-12,50
-33,-11,54
-31,-11,55
-24,-10,57
-23,-10,58
-21,-6,58
-22,-8,58
-29,-8,54
-30,-10,57
-31,-12,59
-29,-14,59
-34,-13,57
-23,-13,62
-28,-10,60
-27,-13,55
-27,-17,58
-28,-20,60
-30,-20,59
-27,-19,54
-30,-18,52
-27,-12,53
-30,-8,52
-32,-3,51
-34,-1,51
-33,0,54
-35,1,52
-34,0,52
-37,-1,48
-37,-2,50
-36,-1,51
-36,-2,48
-40,2,45
-43,3,44
-43,7,42
-44,9,39
-47,10,42
-48,10,44
-45,8,46
-46,5,48
-44,4,49
-41,5,51
-41,5,53
-42,8,56
-44,8,51
-45,8,48
-47,7,51
-38,8,51
-38,7,49
-39,5,45
-41,3,44
-38,0,41
-42,-3,39
-43,-5,38
-48,-8,33
-50,-8,30
-58,-8,25
-64,-13,25
-81,-21,38
-100,-32,51
-89,-48,51
-82,-46,51
-76,-40,47
-58,-37,40
-56,-33,38
-58,-31,42
-57,-29,42
-58,-25,33
-50,-22,31
-36,-19,26
-33,-19,20
-26,-19,14
-19,-20,15
-20,-20,12
-25,-23,13
-32,-27,22
-39,-31,27
-41,-31,35
-44,-29,38
-44,-29,40
-40,-24,46
-38,-21,47
-38,-14,43
-37,-11,42
-42,-9,40
-49,-7,40
-70,-14,45
-73,-25,46
-79,-31,39
-66,-24,33
-57,-22,29
-42,-14,23
-42,-10,23
-45,-5,25
-48,-4,26
-51,-4,29
-53,-6,30
-51,-8,36
-48,-9,37
-40,-12,37
-36,-13,37
-35,-8,37
-43,-10,41
-54,-14,42
-50,-21,43
-47,-19,46
-48,-16,46
-50,-15,46
-50,-19,47
-45,-20,48
-43,-17,43
-44,-17,41
-45,-15,41
-48,-14,42
-49,-15,41
-47,-17,41
-47,-17,40
-52,-20,41
-52,-24,41
-52,-26,39
-53,-24,39
-56,-25,40
-57,-27,38
-50,-26,31
-46,-24,29
-47,-19,26
-48,-20,26
-49,-19,25
-54,-21,24
-57,-23,26
-55,-24,26
-51,-23,26
-50,-20,25
-51,-20,25
-53,-18,24
-55,-17,24
-58,-19,25
-59,-19,28
-59,-22,32
-56,-21,34
-54,-20,34
-54,-17,34
-53,-18,35
-52,-17,37
-54,-18,37
-56,-22,36
-54,-24,36
-49,-24,32
-48,-21,31
-51,-19,28
-52,-17,27
-53,-15,27
-55,-14,27
-57,-14,28
-59,-14,29
-59,-16,29
-56,-18,30
-54,-18,30
-54,-18,29
-53,-18,29
-51,-19,29
-50,-19,29
-51,-19,30
-51,-19,30
-52,-19,31
-52,-19,32
-53,-19,32
-54,-17,32
-54,-17,32
-53,-15,32
-54,-15,32
-55,-15,32
-56,-15,31
-59,-14,33
-60,-14,33
-58,-15,32
-56,-14,33
-58,-11,34
-61,-10,34
-64,-7,33
-65,0,39
-70,1,42
-81,4,43
-88,9,45
-99,12,47
-99,15,45
-89,16,33
-79,18,30
-60,19,21
-52,22,19
-40,30,21
-36,33,25
-26,43,18
-17,39,25
-22,33,25
-39,27,10
-16,19,19
26,7,44
15,3,52
8,-10,60
1,-6,57
-11,0,53
2,8,63
-15,26,53
-11,20,56
-13,30,50
-22,25,47
-24,28,43
-30,27,38
-31,28,38
-43,33,32
-49,35,28
-41,43,36
-47,42,32
-43,41,29
-42,40,31
-42,40,22
-41,38,23
-39,35,25
-38,37,27
-39,37,25
-41,39,29
-42,41,31
-44,44,29
-46,45,30
-44,47,33
-44,47,31
-52,44,29
-47,44,31
-48,46,24
-48,48,23
-45,48,24
-48,42,21
-48,41,19
-46,39,20
-45,37,20
-45,36,21
-44,34,21
-47,31,23
-46,29,26
-47,32,26
-47,31,27
-45,33,29
-46,34,27
-46,35,28
-45,34,27
-47,33,27
-49,33,29
-50,33,28
-52,32,30
-53,31,31
-54,27,30
-54,27,30
-51,24,31
-50,22,30
-51,18,29
-53,15,31
-57,14,30
-56,13,27
-60,14,25
-60,16,25
-57,16,27
-57,17,26
-57,16,25
-60,14,25
-62,14,24
-59,11,26
-58,13,27
-58,12,26
-55,10,25
-53,9,23
-55,10,20
-58,12,18
-57,15,16
-59,14,18
-65,8,13
-59,7,10
-54,9,3
-59,9,3
-78,10,-8
-80,9,-12
-84,2,-8
-81,-1,-4
-80,-4,4
-75,-3,-3
-77,-1,-8
-57,2,9
-54,5,10
-65,3,8
-60,4,9
-57,7,4
-66,5,3
-58,6,10
-65,8,2
-58,7,-3
-72,12,-20
-71,14,-22
-58,14,-14
-60,13,-13
-63,16,-15
-54,14,-10
-61,11,-20
-72,13,-22
-55,15,-7
-60,18,-9
-71,17,-6
-63,17,-3
-63,18,-5
-60,19,-5
-58,18,-6
-56,20,-4
-60,21,-4
-61,23,-2
-64,21,-1
-64,21,3
-54,17,6
-52,18,13
-59,22,9
-57,28,9
-65,19,15
-77,21,12
-65,18,9
-67,17,5
-65,13,4
-65,11,2
-62,9,-1
-63,9,-1
-63,9,-1
-60,9,0
-60,11,0
-59,10,1
-61,10,1
-65,8,-1
-64,9,-1
-65,11,-1
-65,10,-1
-64,10,0
-64,10,1
-65,10,1
-65,10,1
-64,10,3
-64,9,3
-68,9,3
-67,8,2
-66,9,0
-64,9,1
-62,9,1
-67,11,-3
-68,12,-6
-57,12,4
-64,13,-2
-64,14,-8
-59,14,-5
-62,12,-2
-61,11,-3
-66,13,-3
-70,11,1
-64,10,1
-68,9,8
-68,6,8
-66,5,9
-68,5,9
-68,4,9
-71,5,8
-76,4,-7
-76,0,-7
-64,-1,-2
-60,-2,-1
-66,-10,5
-61,-12,12
-65,-15,15
-53,-14,32
-49,-12,39
-48,-6,30
-58,-6,12
-69,-4,3
-66,-4,7
-59,4,-3
-64,7,-12
-63,6,8
-55,6,19
-73,6,11
-64,8,7
-71,11,5
-73,8,7
-81,7,1
-87,-3,-7
-74,-4,-4
-56,5,-2
-56,8,-7
-62,9,-10
-62,8,-11
-58,9,-9
-60,8,-4
-55,3,3
-59,7,2
-60,7,2
-67,9,0
-68,8,-1
-62,5,7
-64,4,9
-69,7,10
-74,9,5
-82,8,6
-82,4,7
-74,-7,8
-72,-6,9
-61,-5,12
-57,-2,8
-55,-4,12
-60,-3,10
-56,-2,5
-51,5,9
-49,5,16
-56,5,19
-54,2,27
-64,6,24
-71,9,19
-68,9,15
-76,11,12
-74,16,3
-67,20,-1
-63,17,5
-76,7,-7
