1594934801.000000, 1594934801.000000, 1594934801.000000
32.000000, 32.000000, 32.000000
33,46,8
33,42,10
42,43,11
55,48,11
66,50,8
67,48,9
53,45,10
46,41,12
46,45,15
42,47,19
36,43,17
32,37,17
33,35,20
35,34,26
37,33,28
33,29,30
34,30,31
37,31,34
38,34,41
38,35,44
35,37,46
33,38,47
31,41,45
39,37,48
39,37,52
40,32,57
30,28,55
25,23,49
32,24,50
32,28,53
20,20,52
18,16,50
20,8,52
19,6,54
14,3,51
15,2,50
18,-3,49
19,-5,50
18,-5,51
17,-4,55
18,-1,56
22,2,62
22,4,65
14,13,63
14,16,65
11,14,64
9,10,58
13,13,59
8,20,60
8,20,61
5,19,59
5,17,58
8,16,59
10,21,57
9,21,56
7,20,60
6,20,62
4,20,60
6,22,59
5,23,60
3,22,63
5,22,63
7,31,65
2,33,76
-7,27,68
-5,27,69
0,20,71
-14,15,59
-11,8,52
-5,23,57
-11,30,43
-6,32,60
-19,25,55
-41,23,48
-23,32,45
-11,36,49
30,56,61
-2,33,51
-33,30,56
-32,26,49
-36,27,41
-17,30,47
-12,34,60
-22,36,57
-20,33,50
-22,36,53
-23,37,43
-17,34,52
-31,33,54
-27,29,52
-25,38,60
-25,38,48
-17,29,54
-20,33,59
-27,36,48
-21,36,58
-25,40,59
-21,33,55
-25,37,57
-28,32,37
-19,25,44
-20,32,71
-28,34,55
-22,31,46
-15,31,49
-25,25,65
7,29,57
1,41,74
6,54,124
-13,68,122
-21,60,103
-28,17,51
-41,-1,30
-29,-32,4
-12,-40,4
40,-44,38
8,-49,61
-11,-45,63
-1,-42,61
-4,-43,51
-14,-47,37
-7,-46,39
-10,-37,36
-13,-21,44
-10,-8,54
-29,7,47
-45,13,41
45,44,63
-59,-3,66
-31,-2,91
-18,-28,60
-19,-43,52
-10,-38,49
-5,-41,52
-13,-37,49
-17,-32,50
-16,-32,48
-12,-36,51
-11,-36,52
-14,-37,51
-13,-37,53
-15,-34,52
-18,-36,49
-19,-36,49
-12,-38,61
-17,-38,53
-16,-38,47
-15,-39,46
-12,-41,48
-11,-41,48
-14,-44,41
-10,-44,43
-13,-44,44
-11,-42,51
-16,-39,54
-14,-40,44
-10,-43,42
-8,-46,50
-7,-45,59
-8,-45,53
-14,-46,29
-7,-46,33
-5,-47,55
-7,-45,54
-13,-45,38
-3,-45,40
-1,-45,45
-3,-47,46
-3,-45,47
-2,-45,48
-2,-45,45
-3,-46,44
-2,-47,45
1,-46,47
3,-47,47
1,-47,44
9,-49,37
10,-50,35
-1,-49,40
1,-45,48
8,-42,51
21,-43,51
31,-45,54
34,-53,48
27,-56,34
55,-49,17
44,-54,36
25,-49,32
-2,-55,4
-5,-57,-3
-9,-48,-12
-15,-48,-12
-6,-34,-1
-13,-26,24
-3,-27,40
-11,-34,56
-7,-35,67
-1,-39,64
4,-40,57
8,-27,63
4,-18,60
11,-15,63
3,-15,58
5,-14,50
24,-11,50
25,-7,50
23,-3,54
47,0,63
53,3,64
58,10,57
65,14,58
64,26,60
47,28,55
25,23,44
32,25,47
33,24,48
31,21,46
29,21,43
34,24,43
42,25,43
60,27,43
57,22,39
51,19,38
45,18,38
47,19,35
53,20,32
52,21,31
48,22,28
49,24,27
54,24,23
54,19,15
52,18,11
61,16,8
61,14,5
57,14,-12
58,17,-29
61,16,-29
60,16,-30
55,16,-31
52,15,-36
50,15,-39
46,15,-41
43,14,-46
41,14,-47
41,14,-47
42,14,-48
